ID,Name,Concepticon_ID,Concepticon_Gloss,Definition,LJ_rank
60,knee,,,"A generic noun for 'knee', i.e. the joint between the thigh and the lower leg.",59
61,sand,,,"A generic noun for 'sand', i.e. the very small particles of rock covering e.g. beaches and deserts.",59
62,hear,,,"A generic verb for 'hear', i.e. to perceive something by the ear.",61
63,laugh,,,"A generic verb for 'laugh', i.e. to produce laughter.",61
64,earth,,,"A generic noun for 'earth', i.e. the material covering the surface of the land.",63
65,left,,,A generic adjective denoting the left side. The opposite of 'right'.,-
66,red,,,A generic adjective denoting the color red.,64
67,liver,,,"A generic noun denoting 'liver', i.e. the large organ that filters blood, detoxifies chemicals and metabolizes drugs.",66
68,hide,,,"A generic verb for 'hide', i.e. to conceal something.",67
69,skin,,,A generic noun for human skin.,67
70,suck,,,"A generic verb for 'suck', i.e. to draw something into the mouth with suction force produced with the lips and the tongue.",67
71,carry,,,"A generic transitive verb for 'carry', i.e. to support and move something from one place to another.",70
72,ant,,,A generic noun denoting an animal belonging to the family Formicidae.,71
73,heavy,,,"A generic adjective denoting 'heavy', i.e. having much weight. Antonym of 'light'.",71
74,take,,,"A generic verb for 'take', i.e. to reach for and hold something.",71
75,old,,,"A generic adjective denoting 'old', i.e. having being in existence for a long period of time. Antonym of 'new'.",74
76,eat,,,"A generic verb for 'eat', i.e. to consume food.",75
77,thick,,,"A generic adjective denoting 'thick', i.e. having opposite sides or surfaces relatively far apart. Antonym of 'thin'.",76
78,thigh,,,"A generic noun for 'thigh', i.e. the part of the human body situated between the hip and the knee.",76
79,long,,,"A generic adjective for 'long', i.e. having a great distance from end to end. Antonym of 'short'.",78
80,blow,,,"A generic verb for 'blow', i.e. to expel air (with mouth).",79
81,tree,,,A generic noun for large woody perennial plants.,80
82,fall,,,"A generic verb for 'fall', i.e. move from a higher level to a lower level, generally rapidly and without control.",81
83,run,,,"A generic verb for 'run', i.e. move rapidly using one's legs.",81
84,eye,,,"A generic noun for 'eye', i.e. the body part used for seeing.",83
85,ashes,,,"A generic noun for 'ashes', i.e. the powdery residue that remains after a substance has burned.",84
86,dog,,,A generic noun for domesticated canids.,84
87,tail,,,"A generic noun for 'tail', i.e. the rear part of some animals.",84
88,weep,,,"A generic verb for 'cry', i.e. express sorrow or other strong emotion by shedding tears.",87
89,tie,,,"A generic verb for 'tie', i.e. fasten something with e.g. string, rope or cord.",88
90,see,,,"A generic verb for 'see', i.e. perceive something visually.",89
91,sweet,,,"A generic adjective 'sweet', i.e. having a taste characteristic of sugar or honey.",89
92,bird,,,"A generic noun for 'bird', i.e. a member of the vertebrate class Aves.",91
93,rope,,,"A generic noun for 'rope', i.e. a thick cord made by twisting or braiding smaller strands together.",91
94,salt,,,"A generic noun for 'salt', i.e. the mineral composed mainly of NaCl, used in preparing or preserving food.",91
95,shadow,,,"A generic noun for 'shadow', i.e. the dark area formed by an opaque object blocking the light source.",91
96,small,,,"A generic adjective for 'small', i.e. not being large in size. Antonym of 'big' and 'large'.",91
97,wide,,,"A generic adjective for 'wide', i.e. measuring a large distance from one side to another. Antonym of 'narrow'.",96
98,in,,,A generic word used to denote being situated within something.,97
99,star,,,"A generic noun denoting 'star', i.e. the luminous objects visible in the sky at night.",97
100,hard,,,"A generic adjective for 'hard', i.e. firm or solid. Antonym of 'soft'.",99
101,crush,,,"A generic verb for 'crush', i.e. break something into small pieces by rubbing it against a rough surface.",100
102,all,,,A quantifier referring to a group or a thing in its entirety.,-
103,and,,,"The conjunction used to e.g. connect words of the same part of speech together, as in 'salt and pepper'.",-
104,animal,,,"A generic noun for 'animal', i.e. any living and moving organism (not a human being).",-
105,at,,,"Adpositional marker expressing location, as in 'at a train station.",-
106,bad,,,"A generic adjective for 'bad', i.e. unpleasant or unwelcome. Antonym of 'good'.",-
107,because,,,"Conjunction in the meaning 'because', used to introduce a phrase that provides an explation or reasoning.",-
108,belly,,,A generic noun for the stomach.,-
109,berry,,,"A generic noun for 'berry', i.e. a small, pulpy fruit.",-
110,breathe,,,"A generic verb for 'breathe', i.e. inhale and exhale air.",-
111,child,,,A generic noun for any infant human being (regardless of family relationship).,-
112,claw_nail,,,A generic noun for a claw or a fingernail.,-
113,cloud,,,A generic noun for a cloud.,-
114,cold,,,"A generic adjective 'cold', i.e. having low temperature. Antonym of 'hot'.",-
115,count,,,"A generic verb for 'count', i.e. determine the total number of something.",-
116,cut,,,"A generic verb for 'cut', i.e. make an incision into something using a sharp instrument.",-
117,day,,,"A generic noun for 'day', i.e. the light period of time that is the opposite of 'night'.",-
118,die,,,"A generic verb for 'die', i.e. to cease living.",-
119,dig,,,"A generic verb for 'dig', i.e. move earth in order to create a hole.",-
120,dry,,,"A generic adjective 'dry', i.e. being without moisture. Antonym of 'wet'.",-
121,dust,,,"A generic noun for 'dust', i.e. fine particles of waste that accumulate on surfaces or are carried in the air.",-
122,fat,,,A generic noun for animal fat.,-
123,father,,,"A generic noun for 'father', i.e. a man in relation to his child or children.",-
124,fear,,,"A generic verb for 'fear', i.e. to be afraid of something.",-
125,feather,,,"A generic noun for 'feather', i.e. the appendages that form a bird's plumage.",-
126,few,,,"A generic term denoting 'few', i.e. a small number of something. Antonym of 'many'.",-
127,fight,,,"A generic verb for 'fight', i.e. participate in a struggle.",-
128,five,,,A numeral with the value 5.,-
129,float,,,"A generic verb for 'float', i.e. move or hover in liquid or air.",-
130,flow,,,"A generic verb for 'flow', i.e. move continuously in a current or a stream.",-
131,flower,,,A generic noun for any flower.,-
132,fly,,,"A generic verb for 'fly', i.e. move through the air (often using wings).",-
133,fog,,,"A generic noun for 'fog', i.e. a thick cloud of water droplets suspended near the earth's surface.",-
134,four,,,A numeral with the value 4.,-
135,freeze,,,"A generic verb for 'freeze', i.e. harden into ice in cold temperature.",-
136,full,,,"A generic adjective for 'full', i.e. having no empty space. Antonym of 'empty'.",-
137,grass,,,"A generic noun for 'grass', i.e. vegetation consisting of short plants with narrow leaves.",-
138,green,,,A generic adjective for the color green.,-
139,guts,,,A generic noun for the inner organs of the lower torso.,-
140,head,,,"A generic noun for 'head', i.e. the body part above the neck.",-
141,heart,,,"A generic noun for 'heart', i.e. the body part responsible for pumping blood.",-
142,here,,,A generic adverbial for proximal location.,-
143,hold,,,"A generic verb for 'hold', i.e. grasp, carry or support something with one's arms.",-
144,how,,,Interrogative denoting 'in what manner'.,-
145,husband,,,"A generic noun for 'husband', i.e. a married man in relation to his spouse.",-
146,if,,,"Conjunction introducing a conditional clause, comparable to English 'if'.",-
147,kill,,,"A generic verb for 'kill', i.e. take someone's life.",-
148,lake,,,A generic noun for a lake.,-
149,leaf,,,A generic noun for a leaf.,64
150,lie,,,"A generic verb for 'lie down', i.e. rest horizontally on the ground.",-
151,live,,,"A generic verb for 'live', i.e. to remain alive.",-
152,many,,,"A generic quantifier for 'many', i.e. a large number of. Antonym of 'few'.",-
153,moon,,,A generic noun for the moon.,-
154,mother,,,"A generic noun for 'mother', i.e. a woman in relation to her child or children.",-
155,mountain,,,A generic noun for a mountain.,-
156,narrow,,,A generic adjective for 'narrow'.,-
157,near,,,"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'.",-
158,other,,,"A pronoun for 'other', referring to a different entity than the one already mentioned.",-
159,play,,,"A generic verb for 'play', i.e. engage in recreational activity or participate in a game or a sport.",-
160,pull,,,A generic verb for 'pull'.,-
161,push,,,A generic verb for 'push'.,-
162,rightside,,,A generic adjective denoting the right side. The opposite of 'left'.,-
163,right,,,A generic adjective denoting correct or proper.,-
164,river,,,A generic noun for a river.,-
165,road,,,A generic noun for a road of any kind.,-
166,round,,,"A generic adjective for 'round', i.e. shaped like a cylinder or a sphere.",-
167,rub,,,"A generic verb for 'rub', i.e. to move e.g. one's hand back and forth along a surface while applying pressure.",-
168,scratch,,,"A generic verb for 'scratch', i.e. to score the surface of something with something sharp.",-
169,sea,,,A generic noun for 'sea'.,-
170,seed,,,A generic noun for a seed of a plant.,-
171,sew,,,"A generic verb for 'sew', i.e. to join something by making stitches with a needle.",-
172,sharp,,,"A generic adjective for 'sharp', i.e. having a pointy edge capable of cutting or a fine point capable of piercing.",-
173,sing,,,A generic verb for 'sing'.,-
174,sit,,,"A generic verb for 'sit', i.e. to remain in a sitting position.",-
175,sky,,,A generic noun for the sky.,-
176,sleep,,,A generic verb for 'sleep'.,-
177,smell,,,"A generic verb for 'smell', i.e. to perceive odour.",-
178,smooth,,,A generic adjective for 'smooth'. Antonym of 'rough'.,-
179,snake,,,A generic noun for a reptile of the suborder Serpentes.,-
180,snow,,,A generic noun for (all kinds of) snow.,-
181,spit,,,"A generic verb for 'spit', i.e. to eject saliva.",-
182,split,,,"A generic verb for 'split', i.e. to forcibly break into parts.",-
183,squeeze,,,"A generic verb for 'squeeze', i.e. to firmly press something (with the fingers).",-
184,stick,,,A generic noun for a thin piece of wood that has fallen or been cut off a tree.,-
185,straight,,,"A generic adjective for 'straight', i.e. extending uniformly in one direction.",-
186,sun,,,A generic noun for the sun.,-
187,swell,,,"A generic verb for 'swell', i.e. to become larger or rounder in size.",-
188,swim,,,"A generic noun for 'swim', i.e. propel the body through water.",-
189,that,,,Distal demonstrative pronoun.,-
190,there,,,A generic adverbial denoting distal location.,-
191,thin,,,"A generic adjective for 'thin', i.e. with opposite surfaces close to each other. Antonym of 'thick'.",-
192,think,,,"A generic verb for 'think', i.e. to use one's mind.",-
193,three,,,A numeral with the value 3.,-
194,throw,,,"A generic verb for 'throw', i.e. to propel something through the air with one's hand.",-
195,turn,,,"A generic verb for 'turn', i.e. to revolve around an axis.",-
196,two,,,A numeral with the value 2.,-
197,vomit,,,"A generic verb for 'vomit', i.e. to eject matter from the stomach through the mouth.",-
198,walk,,,"A generic verb for 'walking', i.e. moving at a normal pace using one's feet.",-
199,warm,,,"A generic adjective for 'warm', i.e. of a fairly high temperature.",-
200,wash,,,"A generic verb for 'wash', i.e. to clean something with water (and potentially soap).",-
201,we,,,First person plural pronoun.,-
202,wet,,,"A generic adjective for 'wet', i.e. not dry.",-
203,when,,,"A generic temporal interrogative adverb, i.e. an adverb matching the English meaning 'when'.",-
204,where,,,"A generic interrogative adverb of place, i.e. an adverb matching the English meaning 'where'.",-
205,white,,,A generic adjective for the color white.,-
206,wipe,,,"A generic verb for 'wipe', i.e. to clean something by rubbing with e.g. a cloth.",-
207,with,,,A generic noun modifier with the meaning 'accompanied by'.,-
208,woman,,,"A generic noun for 'woman', i.e. a female human.",-
209,woods,,,A generic noun for a woods or a forest.,-
210,worm,,,"A generic noun for invertebrates with elongated cylindrical bodies, such as earthworms.",-
211,year,,,A generic noun for 'year'.,-
212,yellow,,,A generic adjective for the color yellow.,-
213,you_pl,,,Third person plural pronoun.,-
214,raise_lift,,,"A generic verb for 'raise', i.e. to lift something to a higher position.",401
215,behind,,,A generic adverbial meaning 'at the far side of'.,402
216,untie,,,A generic verb for 'untie'.,403
217,they,,,Third person plural pronoun.,404
218,cut_down,,,A generic verb denoting 'to cut through something to make it fall on the ground'.,405
219,ten,,,A numeral with the value 10.,406
220,mosquito,,,A generic noun for an insect of the family Culicidae.,407
221,heel,,,"A generic noun for a heel, i.e. the back part of the foot below the ankle.",408
222,trap,,,A generic noun for a trap.,409
223,light,,,"A generic verb for 'light', i.e. to ignite.",410
224,salty,,,"A generic adjective for 'salty', i.e. tasting of salt.",411
225,rotten,,,"A generic adjective for rotten, decayed.",412
226,nine,,,A numeral with the value 9.,413
227,cooked,,,A generic adjective for 'cooked'.,414
228,word,,,A generic noun for 'word'.,415
229,bark_n,,,"A generic noun for 'bark', i.e. the outermost layer of a tree.",416
230,gather,,,"A generic verb for 'gather', i.e. to collect or accumulate something.",417
231,fox,,,A generic noun for a mammal of the genus Vulpes.,418
232,twist,,,"A generic verb for 'twist', i.e. to deform something by bending or turning.",419
233,bake,,,"A generic verb for 'bake', i.e. to cook e.g. bread with dry heat.",420
234,pick_up,,,"A generic verb for 'pick up', i.e. to take hold of something.",421
235,lose,,,"A generic verb for 'lose', i.e. to misplace something.",422
236,leave,,,"A generic verb for 'leave', i.e. to exit or go away from somewhere.",423
237,be_hungry,,,A generic verbal construction meaning 'to be hungry'.,424
238,touch,,,"A generic verb for 'touch', i.e. to make physical contact with something.",425
239,molar_tooth,,,A generic noun for the tooth at the back of the mouth.,426
240,person,,,"A generic noun for a person, human being.",427
241,stretch,,,"A generic verb for 'stretch', i.e. to lengthen something by pulling.",428
242,face,,,A generic noun for a face (of a human).,429
243,beside,,,An generic nominal modifier (e.g. an adposition) with the meaning 'next to'.,430
244,lend,,,"A generic verb for 'lend', i.e. to temporarily give something to someone, with the expectation that it is returned.",431
245,millet,,,A generic noun for millets.,432
246,soon,,,An adverb with the meaning 'within or after a short time'.,433
247,spider,,,A generic noun for an insect of the class Arachnida.,434
248,arrive,,,"A generic verb for 'arrive', i.e. to reach a place.",435
249,bore,,,"A generic verb for 'bore', i.e. to make a hole (with a drill).",436
250,wife,,,"A generic noun for 'wife', i.e. a woman in relation to her spouse.",437
251,shut,,,"A generic verb for shut, close.",438
252,piece,,,A generic noun denoting a piece or a fragment.,439
253,man,,,"A generic noun for 'man', i.e. a male human.",440
254,only,,,"Adverb with the meaning 'only', 'just'.",441
255,loud,,,A generic adjective with the meaning 'loud'.,442
256,groan,,,"A generic verb for 'groan', i.e. to make a deep sound conveying grief or disappointment.",443
257,tree_stump,,,A generic noun for a tree stump.,444
258,testicles,,,A generic noun for testicles.,445
259,begin,,,"A generic verb for begin, start (intransitive form).",446
260,song,,,A generic noun for 'song'.,447
261,sound_noise,,,A generic noun for sound or noise.,448
262,stab,,,"A generic verb for 'stab', i.e. thrust with a pointed instrument or weapon.",449
263,borrow,,,"A generic verb for 'borrow', i.e. to obtain something for temporary use, with the intention of returning it.",450
264,teach,,,A generic verb for 'teach'.,451
265,roast,,,"A generic verb for 'roast', i.e. to cook e.g. meat with dry heat.",452
266,hen,,,A generic noun for a female chicken.,453
267,shell,,,A generic noun for a seashell.,454
268,younger_brother,,,A generic noun for 'little brother'.,455
269,become,,,A generic verb for 'become'.,456
270,stinking,,,"A generic adjective for stinking, smelly.",457
271,rough,,,A generic adjective for 'rough'. Antonym of 'smooth'.,458
272,shake,,,"A generic verb for 'shake', i.e. move an object up and down or from side to side rapidly.",459
273,morning,,,"A generic noun for 'morning', i.e. the time of day between sunrise and noon.",460
274,clean,,,A generic adjective for 'clean'. Antonym of 'dirty'.,461
275,son-in-law,,,A generic noun for the husband of one's daughter.,462
276,deaf,,,"A generic adjective for 'deaf', i.e. incapable of hearing.",463
277,disappear,,,A generic verb for 'disappear'.,464
278,early,,,A generic adjective for 'early'.,465
279,sister,,,A generic noun for 'sister'.,466
280,nit,,,A noun referring to the egg of a head louse.,467
281,shallow,,,"A generic adjective for 'shallow', i.e. of little depth.",468
282,bathe,,,"A generic verb for 'bathe', i.e. to wash by immersing one's body in water.",469
283,summer,,,A generic noun for 'summer'.,470
284,sniff,,,"A generic verb for 'sniff', 'smell'.",471
285,bat,,,A generic noun for a mammal of the order Chiroptera.,472
286,grandchild,,,"A generic noun for 'grandchild', i.e. a child in relation to their parent's parent.",473
287,ice,,,A generic noun for ice.,474
288,some,,,A pronoun with a meaning similar to English 'some'.,475
289,hunt,,,A generic verb with the meaning 'hunt'.,476
290,girl,,,"A generic noun for 'girl', i.e. a female human child.",477
291,dull,,,"A generic adjective with the meaning 'dull', i.e. not sharp.",478
292,extinguish,,,A generic verb with the meaning 'extinguish'.,479
293,mumble,,,A generic verb with the meaning 'mumble'.,480
294,grandson,,,"A generic noun for 'grandson', i.e. a male child in relation to their parent's parent.",481
295,short,,,"A generic adjective for 'short', i.e. measuring a small distance from end to end. Antonym of 'long'.",482
296,dream,,,"A generic verb with the meaning 'dream', i.e. to experience dreams while sleeping.",483
297,charcoal,,,A generic noun for 'charcoal'.,484
298,uncle,,,A generic noun for the brother of one's father or mother.,485
299,lung,,,A generic noun for 'lung'.,486
300,vulture,,,A generic noun denoting Old World vultures.,487
301,comb,,,A generic noun for 'comb'.,488
302,top,,,A generic noun for the top part of e.g. a tree or a mountain.,488
303,divide,,,"A generic verb for 'divide', i.e. separate to parts.",490
304,keep,,,"A generic verb for 'keep', i.e. retain possession of.",491
305,whistle,,,A generic verb for 'whistle'.,492
306,share,,,A generic verb for 'share'.,493
307,shit,,,A generic verb for 'shit'.,494
308,tired,,,A generic adjective for 'tired'.,495
309,dirty,,,A generic adjective for 'dirty'.,496
310,rainbow,,,A generic noun for 'rainbow'.,497
311,turtle,,,A generic noun for 'turtle'.,498
312,mind,,,A generic noun for 'mind'.,499
313,armpit,,,A generic noun for 'armpit'.,500
